,address,LAT,LONG
2202,4 SOUTH ST,42.307604,-71.152565
1604,71 CALL ST,42.307743,-71.110094
1344,CAROLINA AV,42.307747,-71.112571
2361,89 CAROLINA AV,42.307797,-71.112121
1157,105 CAROLINA AV,42.307857,-71.111411
1345,142 CAROLINA AV,42.307947,-71.109953
1665,26 BARDWELL ST,42.307997,-71.117171
2058,82 CAROLINA AV,42.308057,-71.112261
678,58 UNION AV,42.308167,-71.107031
2044,45 UNION AV,42.308767,-71.107041
2741,24 DENBY R,42.308767,-71.051061
614,MOSS HILL R,42.308847,-71.128411
613,9 SOUTH ST,42.309027,-71.115811
1986,5 SOUTH ST,42.309154,-71.115829
483,7 DENBY R,42.309358,-71.050805
405,14 DUNSTER R,42.309377,-71.117811
1337,1 SOUTH ST,42.309425,-71.115804
132,WINTER ST AND RESERVATION R,42.309537,-71.062821
2700,411 POND ST,42.309737,-71.129851
2136,189 GREEN ST,42.309747,-71.105611
358,76 WOODLAND R,42.309977,-71.124911
2248,194 NICHOLS ST (EVERETT),42.310077,-71.070085
2839,371 COLUMBIA RD AND QUINCY ST,42.310657,-71.070771
461,PIERPONT RD AND RUSSETT R,42.310735,-71.096283
1494,2 PARKSIDE DR,42.310803,-71.132387
1580,OPHIR ST,42.310842,-71.104617
2208,3 OPHIR ST,42.310842,-71.104617
1587,14 THOMAS ST,42.310847,-71.115641
330,7 BOWDITCH R,42.310907,-71.125651
2690,1 FURNIVAL R,42.310948,-71.128917
2731,1 CEDARWOOD R,42.310987,-71.124711
328,DORCHESTER AV,42.311138,-71.058132
69,395 COLUMBIA RD AND QUINCY ST,42.311267,-71.069327
2627,2 SYDNEY ST,42.311382,-71.05361
1495,PARKSIDE DR,42.311457,-71.130821
2636,1 SYDNEY ST AND DORCHESTER AV,42.311603,-71.053679
1649,284 POND ST,42.311637,-71.126061
325,93 IFFLEY R,42.311713,-71.097705
161,HANCOCK ST AND W BROADWAY,42.311747,-71.062911
1338,24 PARKSIDE DR,42.311827,-71.129901
1177,6 PARKSIDE DR,42.311928,-71.132188
59,BROOKSIDE AV AND MONTEBELLO R,42.31208,-71.10473
950,BROOKSIDE AV,42.31208,-71.10473
455,45 MONTEBELLO R,42.312191,-71.101213
2844,OAKDALE ST,42.312207,-71.107111
2565,MONTEBELLO R,42.312237,-71.100341
2181,29 STARR L,42.312417,-71.112821
2260,6 MASCOMA ST AND HARVARD AV,42.312448,-71.074661
2543,IFFLEY R,42.312497,-71.099111
2857,PATTEN ST AND SAVIN HILL AV,42.3126,-71.0578
1271,11 IFFLEY R,42.312604,-71.100437
795,1 ROCKWOOD TR,42.312716,-71.127894
1205,7 ROCKWOOD TR,42.31275,-71.127743
1218,215 POND ST,42.312777,-71.123021
2155,9 MONTEBELLO R,42.31282,-71.102444
302,9 IFFLEY R,42.312837,-71.100559
52,18 IFFLEY R,42.312897,-71.100141
1307,ROCKWOOD TR,42.312987,-71.126951
1480,1 STARR L,42.31302,-71.114109
2819,46 BROOKSIDE AV,42.313237,-71.103121
436,GREENVIEW AV,42.31343,-71.112924
837,38 BROOKSIDE AV,42.313507,-71.103031
277,2 PELTON ST,42.314057,-71.056791
1089,12 BROOKSIDE AV,42.314174,-71.102674
13,GLENWAY ST AND PLEASANT ST,42.314197,-71.059441
952,WALNUT PK AND WARDMAN R,42.315217,-71.096251
42,AMORY ST,42.315497,-71.103921
1404,6 CEDAR AV AND HIGH ST,42.315919,-71.163435
2484,DUDLEY ST AND RAMSEY ST,42.316133,-71.05464
2745,195 CHESTNUT AV,42.316177,-71.107701
1755,9 CUSHING AV AND BENTLEY ST,42.31629,-71.064883
1371,233 BLUE HILL AV AND ST CYPRIANS PL,42.316438,-71.078144
1555,297 WALNUT AV,42.316457,-71.093521
1947,291 WALNUT AV,42.316807,-71.093311
1030,COBDEN ST,42.316937,-71.094911
870,272 WALNUT AV,42.316941,-71.091967
2656,228 TOWNSEND ST,42.317027,-71.084721
153,MAYWOOD ST,42.317047,-71.080321
1096,24 COBDEN ST,42.317069,-71.095241
1385,26 CLIVE ST,42.317087,-71.107971
1595,279 WALNUT AV,42.317097,-71.092561
811,277 WALNUT AV,42.317127,-71.092301
2051,5 TAFT ST AND DORCHESTER AV,42.317261,-71.056954
141,HAZELWOOD ST,42.317569,-71.084137
1967,3 ROWES WF,42.317957,-71.057061
647,7 ROWES WF,42.318017,-71.057391
681,19 MAGNOLIA ST AND QUINCY ST,42.318225,-71.070032
2489,ERNST ST,42.318287,-71.099171
340,84 MUNROE ST,42.318557,-71.088241
1076,68 HAROLD ST,42.318587,-71.089001
1019,66 HAROLD ST,42.318637,-71.088991
347,85 MUNROE ST,42.318871,-71.087989
